Station ID,Available Docks,Total Docks,Available Bikes
3422,0,21,19
3423,4,29,25
3424,11,27,13
3425,16,33,15
3427,37,40,1
3428,8,25,11
3429,34,39,2
3430,7,19,11
3431,18,26,6
3434,0,35,35
3435,24,45,21
3436,30,31,1
3437,28,39,11
3438,30,31,1
3440,41,43,2
3443,38,39,1
3447,35,41,5
3449,4,18,12
3452,38,43,4
3453,14,19,5
3454,21,24,3
3455,19,35,13
3456,21,22,1
3457,0,0,0
3458,38,40,1
3459,32,34,0
3461,31,33,2
3462,37,39,1
3463,35,37,1
3466,34,34,0
3467,41,42,1
3469,15,23,7
3472,38,39,0
3474,33,36,1
3476,18,25,7
3477,19,33,14
3478,32,43,11
3479,37,45,8
3481,17,22,5
3486,24,30,6
3489,31,31,0
3490,22,31,9
3491,0,0,0
3492,25,27,2
3493,25,31,6
3494,24,25,1
3495,10,26,16
3496,1,25,24
3497,19,23,4
3498,0,0,0
3499,19,25,5
3500,18,31,13
3501,21,29,8
3502,24,29,4
3503,27,30,3
3504,26,27,0
3505,0,0,0
3506,29,29,0
3507,33,36,3
3508,22,31,9
3509,19,31,11
3510,18,31,13
3511,0,22,22
3512,14,19,5
3513,17,21,4
3514,13,19,6
3515,8,19,11
3516,30,31,1
3517,0,0,0
3518,31,34,2
3519,0,0,0
3520,0,0,0
3521,21,32,11
3522,8,19,11
3523,12,25,13
3524,9,23,12
3525,4,21,16
3526,20,27,6
3527,26,27,1
3528,18,21,3
3529,6,25,16
3530,13,19,6
3531,18,27,9
3532,21,27,6
3533,18,30,11
3534,0,0,0
3535,10,27,17
3536,38,43,3
3537,27,29,1
3538,20,26,5
3539,0,0,0
3540,25,35,10
3541,0,39,39
3542,20,29,9
3543,0,0,0
3544,21,27,6
3545,5,33,28
3546,16,21,1
3547,19,41,21
3548,19,21,2
3549,16,25,7
3550,0,0,0
3551,16,23,5
3552,14,39,24
3553,2,37,33
3554,19,27,8
3555,25,27,1
3556,19,19,0
3557,18,19,1
3558,23,27,4
3559,0,0,0
3560,15,19,4
3561,20,26,6
3562,13,27,14
3563,18,21,3
3564,14,19,5
3565,8,19,11
3566,10,25,15
3567,13,19,6
3568,18,21,3
3569,23,29,6
3570,29,31,1
3571,0,0,0
3572,32,33,1
3573,19,25,6
3574,13,23,7
3575,0,0,0
3576,21,27,1
3577,21,23,2
3578,0,0,0
3579,17,25,8
3580,22,30,8
3581,24,27,2
3582,24,27,1
3583,0,0,0
3584,42,42,0
3585,0,0,0
3586,15,19,4
3587,0,0,0
3588,15,21,6
3589,16,19,3
3590,5,19,14
3591,1,21,20
3592,12,19,7
3593,29,35,6
3594,0,0,0
3595,17,18,1
3596,0,0,0
3597,21,25,4
3598,4,19,14
3599,0,0,0
3600,0,0,0
3601,0,0,0
3602,21,23,2
3603,5,21,16
3604,0,0,0
3605,8,21,13
3606,0,0,0
3607,18,19,1
3608,0,0,0
3609,5,23,18
3610,24,27,3
3611,0,0,0
3612,10,15,5
3613,0,0,0
3614,20,23,2
3615,0,0,0
3616,17,25,8
3617,19,25,6
3618,0,0,0
3619,9,19,9
3620,0,0,0
3621,14,19,5
3622,0,0,0
3623,0,0,0
3624,0,0,0
3625,0,0,0
3626,0,0,0
3627,0,0,0
3628,0,0,0
3629,0,0,0
3630,0,0,0
3631,0,0,0
3632,0,33,32
3635,37,41,4
3637,27,31,4
3638,18,18,0
3639,27,30,3
3640,18,18,0
3641,49,54,1
3642,16,18,2
3643,0,0,0
3644,0,0,0
